No attack,Collaborative MinMax ,Isolated Konwledge MinMax,Veiled MinMax
89.2540322580645,89.2540322580645,89.2540322580645,89.5463709677419
63.054435483871,59.5766129032258,59.7177419354839,69.1028225806452
71.5524193548387,69.0625,68.6592741935484,69.2741935483871
42.3891129032258,40.9375,41.2298387096774,61.4818548387097
61.1189516129032,33.5483870967742,33.0141129032258,58.9516129032258
53.4072580645161,45.7862903225807,44.6774193548387,62.0564516129032
49.7983870967742,27.7116935483871,26.875,67.7721774193548
49.0826612903226,31.7641129032258,31.1491935483871,69.9495967741936
50.6754032258065,31.7540322580645,30.6653225806452,64.9596774193548
53.4979838709677,31.0181451612903,29.929435483871,65.7762096774194
55.9173387096774,34.4153225806452,33.4274193548387,69.4959677419355
62.1471774193548,43.1350806451613,41.5524193548387,72.3891129032258
67.3185483870968,40.0302419354839,38.8911290322581,74.6270161290323
66.6935483870968,45.0100806451613,44.8991935483871,74.6875
70.2620967741936,44.4052419354839,43.2762096774194,75.7258064516129
72.7318548387097,57.2983870967742,53.5181451612903,77.7217741935484
74.3245967741936,59.2641129032258,60.5745967741936,78.3165322580645
74.3951612903226,33.9415322580645,45.8568548387097,78.2157258064516
76.7641129032258,58.5685483870968,56.4516129032258,78.8306451612903
81.4112903225806,55.695564516129,61.9657258064516,81.6733870967742
83.1552419354839,52.7318548387097,51.320564516129,85.0806451612903
83.9314516129032,46.9153225806452,51.4112903225807,84.2943548387097
83.8508064516129,38.7399193548387,57.6108870967742,86.4616935483871
83.6088709677419,37.7822580645161,54.7479838709677,86.9959677419355
84.9193548387097,37.2782258064516,59.8588709677419,86.6733870967742
85.695564516129,43.054435483871,59.4959677419355,87.2379032258065
84.5766129032258,47.4495967741936,60.0504032258065,88.2560483870968
86.0383064516129,55.5443548387097,62.1975806451613,87.3487903225806
85.2620967741936,50.2116935483871,60.3225806451613,89.0322580645161
85.3528225806452,59.0221774193548,55.3427419354839,89.3346774193548
86.2802419354839,56.4012096774194,66.25,89.4052419354839
86.8145161290323,44.2842741935484,62.0766129032258,89.6572580645161
86.9052419354839,49.8286290322581,65.8870967741936,89.9193548387097
87.2681451612903,63.7701612903226,70.2721774193548,88.679435483871
87.4395161290323,52.9838709677419,74.0322580645161,89.304435483871
86.6733870967742,62.0866935483871,66.008064516129,90.3024193548387
85.7157258064516,60.3125,66.4314516129032,87.9939516129032
87.6713709677419,61.5221774193548,69.758064516129,87.9838709677419
89.6774193548387,60.3629032258065,75.625,90.2721774193548
88.9415322580645,64.0221774193548,70.8568548387097,88.8104838709677
87.9536290322581,65.6350806451613,76.5221774193548,85.6350806451613
88.5987903225806,61.5020161290323,72.7520161290323,89.3951612903226
89.4153225806452,67.5201612903226,73.6391129032258,88.2862903225806
89.9899193548387,69.5766129032258,73.366935483871,87.3991935483871
90.0201612903226,66.6229838709677,76.6633064516129,88.2862903225806
88.9415322580645,71.5725806451613,70.625,87.6008064516129
87.7822580645161,71.7943548387097,76.0887096774194,88.508064516129
89.0020161290323,71.2600806451613,78.2862903225806,89.133064516129
90.3931451612903,69.3145161290323,72.4092741935484,88.2358870967742
91.2298387096774,68.1048387096774,80.7056451612903,88.8407258064516
