Accuracy Node 0,Accuracy Node 3,Accuracy Node 5,Accuracy No Attack
91.9657258064516,95.695564516129,97.4596774193548,96.5725806451613
86.6028225806452,52.7923387096774,49.616935483871,67.5
65.5645161290323,64.8689516129032,64.3245967741936,64.5262096774194
18.6189516129032,62.9435483870968,64.616935483871,50.7560483870968
10.0604838709677,54.3245967741936,46.5423387096774,62.9233870967742
10.0604838709677,59.5766129032258,26.3104838709677,78.0846774193548
10.0604838709677,57.3891129032258,30.6854838709677,76.320564516129
10.0604838709677,46.8649193548387,34.9092741935484,69.4758064516129
10.0604838709677,49.1028225806452,31.3709677419355,75.3528225806452
10.0604838709677,56.0584677419355,32.0766129032258,82.4899193548387
10.0604838709677,54.7076612903226,38.7096774193548,83.4879032258065
10.0604838709677,57.2278225806452,42.7318548387097,85.9173387096774
10.0604838709677,60.4737903225807,48.0342741935484,87.6209677419355
10.0604838709677,63.0241935483871,49.3548387096774,89.3346774193548
10.0604838709677,66.2399193548387,51.5423387096774,89.2641129032258
10.0604838709677,62.6612903225807,55.9173387096774,88.7096774193548
10.0604838709677,65.4133064516129,59.7782258064516,89.8487903225806
10.0604838709677,65.6552419354839,63.8004032258065,91.6733870967742
10.0604838709677,66.5221774193548,66.9758064516129,92.1975806451613
10.0604838709677,67.883064516129,67.741935483871,93.0947580645161
10.0604838709677,74.8487903225806,73.4576612903226,92.8931451612903
10.0604838709677,65.6552419354839,74.4858870967742,92.8729838709677
10.0604838709677,71.4616935483871,76.25,93.8810483870968
10.0604838709677,71.1088709677419,77.8931451612903,93.9616935483871
10.0604838709677,71.9657258064516,78.4778225806452,94.3850806451613
10.0604838709677,71.2197580645161,77.9032258064516,94.1431451612903
10.0604838709677,68.3266129032258,78.9314516129032,94.4959677419355
10.0604838709677,66.7036290322581,80.3024193548387,95.0403225806452
10.0604838709677,67.5806451612903,80.0504032258065,94.8286290322581
10.0604838709677,66.9858870967742,84.133064516129,95.3528225806452
10.0604838709677,68.508064516129,83.75,95.3729838709677
10.0604838709677,66.7036290322581,82.0463709677419,96.1189516129032
10.0604838709677,68.3971774193548,84.0826612903226,96.0181451612903
10.0604838709677,60.2923387096774,85,95.7358870967742
10.0604838709677,64.5262096774194,85.4637096774194,95.5947580645161
10.0604838709677,59.8387096774194,86.9254032258065,95.8568548387097
10.0604838709677,63.0342741935484,87.5,96.4717741935484
10.0604838709677,65.4939516129032,88.8004032258065,96.6431451612903
10.0604838709677,58.6693548387097,88.9616935483871,95.4032258064516
10.0604838709677,50.2318548387097,88.9415322580645,95.8870967741936
10.0604838709677,53.9314516129032,89.9193548387097,96.8951612903226
10.0604838709677,57.0362903225807,90.0302419354839,96.2096774193548
10.0604838709677,32.0866935483871,90.3528225806452,95.4637096774194
10.0604838709677,36.4516129032258,89.9697580645161,95.9274193548387
10.0604838709677,17.2681451612903,89.5161290322581,96.5020161290323
10.0604838709677,35.8971774193548,90.5040322580645,96.179435483871
10.0604838709677,29.758064516129,92.1774193548387,95.5040322580645
10.0604838709677,18.7197580645161,92.1370967741936,94.7479838709677
10.0604838709677,11.5725806451613,90.2520161290323,94.8084677419355
10.0604838709677,14.1633064516129,90.0504032258065,96.3004032258065
